prompt_risk_opportunity_investor_en, accuracy=0.9158, precision_micro=0.9158, recall_micro=0.9158, f1_micro=0.9158, precision_macro=0.5462, recall_macro=0.6096, f1_macro=0.5704, precision_weighted=0.9379, recall_weighted=0.9158, f1_weighted=0.9228, run=1.0000
prompt_risk_opportunity_investor_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8173, recall_macro=0.9158, f1_macro=0.8550, precision_weighted=0.9374, recall_weighted=0.9183, f1_weighted=0.9238, run=2.0000
prompt_risk_opportunity_investor_en, accuracy=0.9196, precision_micro=0.9196, recall_micro=0.9196, f1_micro=0.9196, precision_macro=0.8193, recall_macro=0.9165, f1_macro=0.8568, precision_weighted=0.9380, recall_weighted=0.9196, f1_weighted=0.9248, run=3.0000
prompt_risk_opportunity_investor_en, accuracy=0.9171, precision_micro=0.9171, recall_micro=0.9171, f1_micro=0.9171, precision_macro=0.8153, recall_macro=0.9151, f1_macro=0.8532, precision_weighted=0.9368, recall_weighted=0.9171, f1_weighted=0.9227, run=4.0000
prompt_risk_opportunity_investor_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8173, recall_macro=0.9158, f1_macro=0.8550, precision_weighted=0.9374, recall_weighted=0.9183, f1_weighted=0.9238, run=5.0000
prompt_risk_opportunity_investor_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8173, recall_macro=0.9158, f1_macro=0.8550, precision_weighted=0.9374, recall_weighted=0.9183, f1_weighted=0.9238, run=6.0000
prompt_risk_opportunity_investor_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8173, recall_macro=0.9158, f1_macro=0.8550, precision_weighted=0.9374, recall_weighted=0.9183, f1_weighted=0.9238, run=7.0000
prompt_risk_opportunity_investor_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8173, recall_macro=0.9158, f1_macro=0.8550, precision_weighted=0.9374, recall_weighted=0.9183, f1_weighted=0.9238, run=8.0000
prompt_risk_opportunity_investor_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8173, recall_macro=0.9158, f1_macro=0.8550, precision_weighted=0.9374, recall_weighted=0.9183, f1_weighted=0.9238, run=9.0000
prompt_risk_opportunity_investor_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8173, recall_macro=0.9158, f1_macro=0.8550, precision_weighted=0.9374, recall_weighted=0.9183, f1_weighted=0.9238, run=10.0000
prompt_risk_opportunity_investor_en, accuracy_mean=0.9181, precision_micro_mean=0.9181, recall_micro_mean=0.9181, f1_micro_mean=0.9181, precision_macro_mean=0.7902, recall_macro_mean=0.8852, f1_macro_mean=0.8265, precision_weighted_mean=0.9374, recall_weighted_mean=0.9181, f1_weighted_mean=0.9237

prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9022, precision_micro=0.9022, recall_micro=0.9022, f1_micro=0.9022, precision_macro=0.7931, recall_macro=0.9138, f1_macro=0.8344, precision_weighted=0.9325, recall_weighted=0.9022, f1_weighted=0.9105, run=1.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9022, precision_micro=0.9022, recall_micro=0.9022, f1_micro=0.9022, precision_macro=0.7931, recall_macro=0.9138, f1_macro=0.8344, precision_weighted=0.9325, recall_weighted=0.9022, f1_weighted=0.9105, run=2.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9010, precision_micro=0.9010, recall_micro=0.9010, f1_micro=0.9010, precision_macro=0.7914, recall_macro=0.9130, f1_macro=0.8328, precision_weighted=0.9320, recall_weighted=0.9010, f1_weighted=0.9094, run=3.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9022, precision_micro=0.9022, recall_micro=0.9022, f1_micro=0.9022, precision_macro=0.7931, recall_macro=0.9138, f1_macro=0.8344, precision_weighted=0.9325, recall_weighted=0.9022, f1_weighted=0.9105, run=4.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9022, precision_micro=0.9022, recall_micro=0.9022, f1_micro=0.9022, precision_macro=0.7931, recall_macro=0.9138, f1_macro=0.8344, precision_weighted=0.9325, recall_weighted=0.9022, f1_weighted=0.9105, run=5.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9022, precision_micro=0.9022, recall_micro=0.9022, f1_micro=0.9022, precision_macro=0.7931, recall_macro=0.9138, f1_macro=0.8344, precision_weighted=0.9325, recall_weighted=0.9022, f1_weighted=0.9105, run=6.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9022, precision_micro=0.9022, recall_micro=0.9022, f1_micro=0.9022, precision_macro=0.7931, recall_macro=0.9138, f1_macro=0.8344, precision_weighted=0.9325, recall_weighted=0.9022, f1_weighted=0.9105, run=7.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9022, precision_micro=0.9022, recall_micro=0.9022, f1_micro=0.9022, precision_macro=0.7931, recall_macro=0.9138, f1_macro=0.8344, precision_weighted=0.9325, recall_weighted=0.9022, f1_weighted=0.9105, run=8.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9022, precision_micro=0.9022, recall_micro=0.9022, f1_micro=0.9022, precision_macro=0.7931, recall_macro=0.9138, f1_macro=0.8344, precision_weighted=0.9325, recall_weighted=0.9022, f1_weighted=0.9105, run=9.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy=0.9010, precision_micro=0.9010, recall_micro=0.9010, f1_micro=0.9010, precision_macro=0.7914, recall_macro=0.9130, f1_macro=0.8328, precision_weighted=0.9320, recall_weighted=0.9010, f1_weighted=0.9094, run=10.0000
prompt_risk_opportunity_investor_context_conservative_en, accuracy_mean=0.9020, precision_micro_mean=0.9020, recall_micro_mean=0.9020, f1_micro_mean=0.9020, precision_macro_mean=0.7928, recall_macro_mean=0.9136, f1_macro_mean=0.8341, precision_weighted_mean=0.9324, recall_weighted_mean=0.9020, f1_weighted_mean=0.9103

prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9196, precision_micro=0.9196, recall_micro=0.9196, f1_micro=0.9196, precision_macro=0.8193, recall_macro=0.9165, f1_macro=0.8568, precision_weighted=0.9380, recall_weighted=0.9196, f1_weighted=0.9248, run=1.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9196, precision_micro=0.9196, recall_micro=0.9196, f1_micro=0.9196, precision_macro=0.8196, recall_macro=0.9128, f1_macro=0.8559, precision_weighted=0.9370, recall_weighted=0.9196, f1_weighted=0.9247, run=2.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9208, precision_micro=0.9208, recall_micro=0.9208, f1_micro=0.9208, precision_macro=0.8212, recall_macro=0.9209, f1_macro=0.8594, precision_weighted=0.9396, recall_weighted=0.9208, f1_weighted=0.9261, run=3.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9196, precision_micro=0.9196, recall_micro=0.9196, f1_micro=0.9196, precision_macro=0.8193, recall_macro=0.9165, f1_macro=0.8568, precision_weighted=0.9380, recall_weighted=0.9196, f1_weighted=0.9248, run=4.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9196, precision_micro=0.9196, recall_micro=0.9196, f1_micro=0.9196, precision_macro=0.8193, recall_macro=0.9165, f1_macro=0.8568, precision_weighted=0.9380, recall_weighted=0.9196, f1_weighted=0.9248, run=5.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9196, precision_micro=0.9196, recall_micro=0.9196, f1_micro=0.9196, precision_macro=0.8196, recall_macro=0.9128, f1_macro=0.8559, precision_weighted=0.9370, recall_weighted=0.9196, f1_weighted=0.9247, run=6.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8175, recall_macro=0.9121, f1_macro=0.8541, precision_weighted=0.9364, recall_weighted=0.9183, f1_weighted=0.9236, run=7.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9220, precision_micro=0.9220, recall_micro=0.9220, f1_micro=0.9220, precision_macro=0.8233, recall_macro=0.9216, f1_macro=0.8612, precision_weighted=0.9402, recall_weighted=0.9220, f1_weighted=0.9271, run=8.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8175, recall_macro=0.9121, f1_macro=0.8541, precision_weighted=0.9364, recall_weighted=0.9183, f1_weighted=0.9236, run=9.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8175, recall_macro=0.9121, f1_macro=0.8541, precision_weighted=0.9364, recall_weighted=0.9183, f1_weighted=0.9236, run=10.0000
prompt_risk_opportunity_investor_context_moderate_en, accuracy_mean=0.9196, precision_micro_mean=0.9196, recall_micro_mean=0.9196, f1_micro_mean=0.9196, precision_macro_mean=0.8194, recall_macro_mean=0.9154, f1_macro_mean=0.8565, precision_weighted_mean=0.9377, recall_weighted_mean=0.9196, f1_weighted_mean=0.9248

prompt_risk_opportunity_investor_context_aggressive_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8180, recall_macro=0.9048, f1_macro=0.8524, precision_weighted=0.9344, recall_weighted=0.9183, f1_weighted=0.9232, run=1.0000
prompt_risk_opportunity_investor_context_aggressive_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8180, recall_macro=0.9048, f1_macro=0.8524, precision_weighted=0.9344, recall_weighted=0.9183, f1_weighted=0.9232, run=2.0000
prompt_risk_opportunity_investor_context_aggressive_en, accuracy=0.9196, precision_micro=0.9196, recall_micro=0.9196, f1_micro=0.9196, precision_macro=0.8201, recall_macro=0.9055, f1_macro=0.8542, precision_weighted=0.9350, recall_weighted=0.9196, f1_weighted=0.9243, run=3.0000
prompt_risk_opportunity_investor_context_aggressive_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8180, recall_macro=0.9048, f1_macro=0.8524, precision_weighted=0.9344, recall_weighted=0.9183, f1_weighted=0.9232, run=4.0000
prompt_risk_opportunity_investor_context_aggressive_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8180, recall_macro=0.9048, f1_macro=0.8524, precision_weighted=0.9344, recall_weighted=0.9183, f1_weighted=0.9232, run=5.0000
prompt_risk_opportunity_investor_context_aggressive_en, accuracy=0.9183, precision_micro=0.9183, recall_micro=0.9183, f1_micro=0.9183, precision_macro=0.8180, recall_macro=0.9048, f1_macro=0.8524, precision_weighted=0.9344, recall_weighted=0.9183, f1_weighted=0.9232, run=6.0000
